transaction_id,customer_id,product_id,transaction_date
4000,599528,356475,2015-06-02
11117,121688,15335,2015-06-01
5444,552148,81345,2015-06-01
13556,102019,150318,2015-06-01
7244,189384,310791,2015-06-01
8796,350566,54058,2015-06-01
8796,350566,284871,2015-06-01
5216,404403,150100,2015-06-01
11713,505565,243566,2015-06-01
2415,945184,245400,2015-06-01
15915,1406787,336832,2015-06-01
14924,820159,202052,2015-06-01
11615,319880,7943,2015-06-02
11956,608628,185598,2015-06-02
3051,956011,338308,2015-06-02
11413,1318394,318333,2015-06-02
1343,61806,68242,2015-06-02
11138,1331125,185896,2015-06-02
1798,911093,277119,2015-06-02
1798,911093,251130,2015-06-02
16605,157419,63769,2015-06-01
16605,157419,135703,2015-06-01
16717,1166562,103311,2015-06-01
16951,464138,428257,2015-06-02
8900,273406,256146,2015-06-02
15894,1233140,167827,2015-06-02
15894,1233140,387504,2015-06-02
11179,813069,201598,2015-06-02
8467,504901,367664,2015-06-02
17128,1041255,10034,2015-06-02
14179,328126,159822,2015-06-02
7686,404403,50934,2015-06-01
14914,497826,380493,2015-06-01
17118,666960,89977,2015-06-01
118,1161163,383396,2015-06-01
6155,1281446,55925,2015-06-02
1482,217773,308648,2015-06-01
11117,121688,380775,2015-06-01
9766,1043433,181045,2015-06-02
17312,1242777,430292,2015-06-01
7244,189384,299044,2015-06-01
16490,826010,138356,2015-06-01
8906,286616,183087,2015-06-01
8010,1192199,461765,2015-06-01
1139,1235292,221963,2015-06-01
1139,1235292,4887,2015-06-01
10874,1236753,336393,2015-06-01
17496,1161163,321712,2015-06-01
17306,977567,177773,2015-06-01
16934,1252850,277201,2015-06-01
11609,34648,281211,2015-06-01
14860,22090,205566,2015-06-02
17479,396761,36873,2015-06-02
4258,1020169,226728,2015-06-02
1798,911093,261940,2015-06-02
15184,800638,27812,2015-06-02
5291,571258,50329,2015-06-02
15155,1299250,422948,2015-06-02
438,254621,404936,2015-06-02
8900,273406,410587,2015-06-02
7299,291283,300559,2015-06-02
10811,1001673,366859,2015-06-01
7323,1344887,446524,2015-06-01
17497,639964,360258,2015-06-01
12555,1233931,445821,2015-06-01
2216,876581,125862,2015-06-02
6580,480593,107195,2015-06-01
6344,1094490,454964,2015-06-01
4455,1236753,185179,2015-06-01
12051,422787,259078,2015-06-01
7630,404403,36013,2015-06-01
17277,1076270,262799,2015-06-02
11117,121688,237753,2015-06-01
14171,84327,264774,2015-06-02
15931,404403,26210,2015-06-02
17173,1381613,189444,2015-06-01
16795,1026720,8426,2015-06-01
6985,138131,245168,2015-06-01
11012,1093035,193623,2015-06-01
7215,322407,260957,2015-06-01
17496,1161163,9376,2015-06-01
1987,820159,336832,2015-06-01
1139,1235292,240004,2015-06-01
12701,555094,42260,2015-06-01
2653,873401,281211,2015-06-01
7666,570360,430292,2015-06-01
10835,138131,150882,2015-06-01
10835,138131,14932,2015-06-01
14738,1042749,448601,2015-06-02
4055,1281446,55925,2015-06-02
15991,1161163,339917,2015-06-01
11698,346597,427749,2015-06-01
3712,404403,118199,2015-06-01
3588,1360085,104801,2015-06-02
12855,1291803,375181,2015-06-01
15894,1233140,390167,2015-06-02
6424,422045,361554,2015-06-02
2208,536757,303517,2015-06-02
8038,530205,458637,2015-06-02
5911,708918,275559,2015-06-02
14377,455557,213695,2015-06-02
12383,1134975,303960,2015-06-02
4219,350566,251130,2015-06-02
4455,1236753,435090,2015-06-01
15085,295220,335630,2015-06-01
16043,1249058,127926,2015-06-01
6165,416426,428015,2015-06-01
12267,1212037,32147,2015-06-01
118,1161163,119736,2015-06-01
7630,404403,234199,2015-06-01
9423,1406087,19269,2015-06-02
2790,748120,427499,2015-06-02
3391,820159,259078,2015-06-01
11750,500008,310206,2015-06-01
11117,121688,317178,2015-06-01
11220,158090,10572,2015-06-02
2045,529601,161166,2015-06-02
9658,350566,268335,2015-06-01
4101,1093035,448494,2015-06-01
6362,350566,183049,2015-06-01
8900,273406,140527,2015-06-02
1139,1235292,150183,2015-06-01
4258,1020169,175555,2015-06-02
6737,1012089,346139,2015-06-01
14302,347598,55731,2015-06-01
4219,350566,261940,2015-06-02
1681,1162858,387373,2015-06-01
7630,404403,416187,2015-06-01
94,404403,167985,2015-06-01
4667,308270,384895,2015-06-02
7094,820159,111306,2015-06-02
11470,1307202,181576,2015-06-02
1357,1139092,259114,2015-06-02
12043,608628,57245,2015-06-02
14440,1162858,463280,2015-06-02
17559,1166817,7943,2015-06-02
12822,350566,369093,2015-06-01
14699,1093035,355994,2015-06-01
11117,121688,12836,2015-06-01
11117,121688,400969,2015-06-01
11117,121688,105792,2015-06-01
11117,121688,25353,2015-06-01
10233,996134,461180,2015-06-02
13875,754142,63489,2015-06-02
10874,1236753,185179,2015-06-01
10874,1236753,435090,2015-06-01
8954,81688,99610,2015-06-01
1139,1235292,272455,2015-06-01
1139,1235292,326447,2015-06-01
1139,1235292,133247,2015-06-01
1139,1235292,63975,2015-06-01
3110,1018325,96940,2015-06-01
16605,157419,150185,2015-06-01
5492,178066,381613,2015-06-01
14924,820159,44882,2015-06-01
4581,138131,144076,2015-06-01
37,350566,370745,2015-06-02
37,350566,192990,2015-06-02
9914,611548,442837,2015-06-02
4455,1236753,336393,2015-06-01
11534,866540,329522,2015-06-01
7630,404403,146735,2015-06-01
8900,273406,124065,2015-06-02
616,55135,164885,2015-06-02
1172,1366259,384399,2015-06-02
3839,539910,385201,2015-06-01
8900,273406,120098,2015-06-02
17081,1364162,315543,2015-06-01
4556,162815,1684,2015-06-01
3305,1001673,366859,2015-06-01
4219,350566,277119,2015-06-02
2341,309647,19883,2015-06-01
5872,1088275,288418,2015-06-01
1624,293206,379092,2015-06-01
13556,102019,49521,2015-06-01
11117,121688,200793,2015-06-01
11117,121688,80582,2015-06-01
11117,121688,302422,2015-06-01
12573,850173,243470,2015-06-01
11515,1168808,189444,2015-06-02
15097,770690,190260,2015-06-02
17277,1076270,36035,2015-06-02
12945,1050805,78822,2015-06-02
12945,1050805,251415,2015-06-02
15084,854740,115530,2015-06-02
1213,244838,102573,2015-06-01
16605,157419,100367,2015-06-01
1102,286616,226820,2015-06-01
11055,322407,260957,2015-06-01
695,286616,303828,2015-06-01
9199,1249058,127926,2015-06-01
10165,191439,821,2015-06-01
1139,1235292,50577,2015-06-01
13390,282705,431447,2015-06-01
8900,273406,246997,2015-06-02
13075,1093035,71733,2015-06-02
15826,350566,241716,2015-06-02
13398,1285763,317435,2015-06-02
4423,1346478,181202,2015-06-01
7630,404403,4887,2015-06-01
12465,1161163,403566,2015-06-01
7779,1161163,345211,2015-06-01
16356,961085,231565,2015-06-03
2547,795060,217218,2015-06-03
12260,125208,339808,2015-06-02
15426,1003058,312728,2015-06-03
9194,286616,245994,2015-06-02
250,565078,448494,2015-06-02
11033,592348,199348,2015-06-02
16350,625795,118024,2015-06-02
12248,805204,281480,2015-06-02
15665,361387,43485,2015-06-02
12422,1274063,189764,2015-06-02
11545,1366764,243980,2015-06-02
16835,263391,248614,2015-06-03
14609,1254716,120098,2015-06-03
13303,723092,127722,2015-06-02
12559,888741,52539,2015-06-03
12711,138131,105334,2015-06-03
14156,319482,306328,2015-06-03
6474,805204,271268,2015-06-02
5921,12148,157438,2015-06-02
9971,1171969,8724,2015-06-03
13767,99830,219821,2015-06-02
1524,536804,6364,2015-06-02
1524,536804,331159,2015-06-02
4979,730188,316753,2015-06-02
10507,634120,7943,2015-06-02
8910,1280613,336359,2015-06-03
306,1123085,151471,2015-06-03
3881,361387,43485,2015-06-02
13342,262607,383396,2015-06-02
17055,1161163,164035,2015-06-03
11356,915374,158575,2015-06-03
9120,163561,114121,2015-06-02
16246,161529,164035,2015-06-02
14814,138131,268956,2015-06-02
17198,138131,288525,2015-06-02
17198,138131,289096,2015-06-02
12559,888741,206218,2015-06-03
13303,723092,62800,2015-06-02
13566,296401,321984,2015-06-02
872,1108396,151320,2015-06-02
16062,478763,234255,2015-06-03
12711,138131,36995,2015-06-03
12031,1209965,427499,2015-06-02
1466,691766,417008,2015-06-02
10807,371941,134309,2015-06-02
15166,470165,46156,2015-06-02
8849,1143344,451207,2015-06-02
2547,795060,8641,2015-06-03
6016,263391,248614,2015-06-03
11789,163561,382649,2015-06-03
11446,858127,23762,2015-06-03
2336,168685,210009,2015-06-03
15671,65249,130231,2015-06-02
5346,705177,319855,2015-06-02
2070,859454,309438,2015-06-02
2070,859454,402462,2015-06-02
1524,536804,150889,2015-06-02
195,226547,460553,2015-06-02
10007,286616,23246,2015-06-03
13777,196046,443030,2015-06-03
1523,90496,365832,2015-06-03
1523,90496,98893,2015-06-03
1552,479324,21886,2015-06-02
8218,139064,267010,2015-06-02
2041,928046,456056,2015-06-02
10019,595321,322666,2015-06-02
599,652566,250618,2015-06-02
5313,425069,167501,2015-06-02
2733,589789,217840,2015-06-02
3658,488277,221317,2015-06-03
14609,1254716,34269,2015-06-03
14609,1254716,85771,2015-06-03
13303,723092,8641,2015-06-02
13303,723092,185211,2015-06-02
7381,213145,361038,2015-06-03
5146,936737,360258,2015-06-03
17285,85555,368283,2015-06-02
2944,1059475,20740,2015-06-03
10798,517720,107367,2015-06-02
1865,333746,427499,2015-06-02
4326,851973,40582,2015-06-02
15229,1026208,240822,2015-06-02
10552,21302,171814,2015-06-02
13706,101161,199975,2015-06-02
489,138131,326449,2015-06-02
4806,149854,358598,2015-06-02
4806,149854,207993,2015-06-02
4806,149854,346655,2015-06-02
12031,1209965,349537,2015-06-02
2547,795060,32227,2015-06-03
16803,555887,451806,2015-06-03
9886,208678,445728,2015-06-03
2037,960928,448119,2015-06-03
14156,319482,249161,2015-06-03
14156,319482,194643,2015-06-03
14144,854858,432478,2015-06-03
12603,1406087,261886,2015-06-02
831,22596,299915,2015-06-03
17437,305234,296968,2015-06-02
1524,536804,273555,2015-06-02
1524,536804,406071,2015-06-02
10505,1197550,367790,2015-06-02
15016,138131,161911,2015-06-02
2041,928046,156896,2015-06-02
14674,1083188,134255,2015-06-02
16783,673572,428554,2015-06-02
